chr	pos	data_HepG2_WT_v_KD	term_HepG2_WT_v_KD	p.value_HepG2_WT_v_KD	note_HepG2_WT_v_KD	p.value.BH_HepG2_WT_v_KD	delta_delrate_P101_HepG2_WT_v_KD	delta_delrate_P102_HepG2_WT_v_KD	dd_delrate_HepG2_WT_v_KD	data_HepG2_WT_v_OE	term_HepG2_WT_v_OE	p.value_HepG2_WT_v_OE	note_HepG2_WT_v_OE	p.value.BH_HepG2_WT_v_OE	delta_delrate_P4_HepG2_WT_v_OE	delta_delrate_P3_HepG2_WT_v_OE	dd_delrate_HepG2_WT_v_OE	data_293T_WT_v_KD	term_293T_WT_v_KD	p.value_293T_WT_v_KD	note_293T_WT_v_KD	p.value.BH_293T_WT_v_KD	delta_delrate_P101_293T_WT_v_KD	delta_delrate_P102_293T_WT_v_KD	dd_delrate_293T_WT_v_KD	data_293T_WT_v_OE	term_293T_WT_v_OE	p.value_293T_WT_v_OE	note_293T_WT_v_OE	p.value.BH_293T_WT_v_OE	delta_delrate_P4_293T_WT_v_OE	delta_delrate_P3_293T_WT_v_OE	dd_delrate_293T_WT_v_OE	data_Both_WT_v_KD	term_Both_WT_v_KD	p.value_Both_WT_v_KD	note_Both_WT_v_KD	p.value.BH_Both_WT_v_KD	delta_delrate_P101_Both_WT_v_KD	delta_delrate_P102_Both_WT_v_KD	dd_delrate_Both_WT_v_KD	data_Both_WT_v_OE	term_Both_WT_v_OE	p.value_Both_WT_v_OE	note_Both_WT_v_OE	p.value.BH_Both_WT_v_OE	delta_delrate_P4_Both_WT_v_OE	delta_delrate_P3_Both_WT_v_OE	dd_delrate_Both_WT_v_OE	delta_delrate	quartile
HDAC6_chrX_48823353	65		glm_model_factor	1.07969233410305e-13		1.07969233410305e-13	0.14132426163312825	0.1995905270719755	0.05826626543884725		glm_model_factor	5.756790106895903e-12		5.756790106895903e-12	0.05937410812901803	0.6256250745407708	0.5662509664117528		glm_model_factor	1.2419185350955874e-4		1.2419185350955874e-4	0.1289975090031967	0.28213172354117616	0.15313421453797946		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	1.5220577396122456e-25		1.5220577396122456e-25	0.133666588001298	0.24082906856252354	0.10716248056122554		glm_model_factor	2.911601667812014e-9		2.911601667812014e-9	0.18191834802786308	0.5461636245238839	0.3642452764960208	0.218771954110462	4
HEXA_chr15_72344047	66		glm_model_factor	3.723268085568517e-10		3.723268085568517e-10	0.002582545625751046	0.08775670065399331	0.08517415502824227		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	1.4607408044344701e-6		1.4607408044344701e-6	0.12728217041617743	0.2984861946695257	0.17120402425334827		glm_model_factor	2.542599860155131e-7		2.542599860155131e-7	0.028691149740355346	0.09939067278206962	0.07069952304171427		glm_model_factor	2.8259681761687165e-7		2.8259681761687165e-7	0.06434220579207398	0.15648238200052692	0.09214017620845294	0.06552987263480238	2
IGBP1_chrX_70134663	65		glm_model_factor	5.795875202900459e-27		5.795875202900459e-27	-0.10240542341064454	0.0023898888678766314	0.10479531227852118		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	1.0648147322015463e-21		1.0648147322015463e-21	-0.06242135197022312	9.525957335559877e-5	0.06251661154357871		NA	NA	NA	NA	NA	NA	NA	-9.035777587219213e-5	1
IGF2BP1_chr17_49043468	65		glm_model_factor	3.97478139056719e-8		3.97478139056719e-8	0.0306242856916749	0.14858066512772503	0.11795637943605013		glm_model_factor	0.012959254217800248		0.012959254217800248	0.1505888555337882	0.31332627332535534	0.16273741779156714		glm_model_factor	6.588611194861348e-5		6.588611194861348e-5	0.10209255201645892	0.2526657208439557	0.1505731688274968		glm_model_factor	9.210655459465121e-5		9.210655459465121e-5	0.26814260718285293	0.39767926967050554	0.1295366624876526		glm_model_factor	3.945292906058869e-13		3.945292906058869e-13	0.06582957895661372	0.20055629619454934	0.1347267172379356		glm_model_factor	0.012167731333777639		0.012167731333777639	0.21004830965097865	0.3555027714979304	0.14545446184695177	0.17415444716092326	3
INTS1_chr7_1499581	66		glm_model_factor	0.014708487282704127		0.014708487282704127	0.31603869141544216	0.43725684973644313	0.12121815832100097		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	0.38389196864621467	4
KLC1_chr14_103685740	65		glm_model_factor	2.763708248397793e-8		2.763708248397793e-8	0.03170609077828407	0.08183981499729578	0.050133724219011716		glm_model_factor	5.99438582117922e-44		5.99438582117922e-44	0.031029566158423904	0.2743726254736249	0.243343059315201		glm_model_factor	1.8042837704514613e-10		1.8042837704514613e-10	0.06738777411856772	0.15287566238714362	0.0854878882685759		glm_model_factor	4.651621534372414e-15		4.651621534372414e-15	0.11881334760451354	0.360568685876027	0.24175533827151344		glm_model_factor	9.68832548862972e-21		9.68832548862972e-21	0.049492140686546185	0.11782157715774032	0.06832943647119413		glm_model_factor	1.545650063358608e-38		1.545650063358608e-38	0.0753467540269325	0.3174706556748259	0.2421239016478934	0.10677639814563197	3
MACF1_chr1_39388333	65		glm_model_factor	4.260886747532639e-4		4.260886747532639e-4	2.3133448821951335e-4	0.2127308345783879	0.21249950009016838		glm_model_factor	4.784288284344145e-16		4.784288284344145e-16	-0.0037149595495863316	0.1006594856395519	0.10437444518913824		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	0.0021561606363860977		0.0021561606363860977	0.06594178119164827	0.1806686554892918	0.11472687429764354		NA	NA	NA	NA	NA	NA	NA	0.13234032501376677	3
MAPRE2_chr18_35141260	65		glm_model_factor	8.146754823877412e-6		8.146754823877412e-6	-0.003433510742786693	0.2701562836707681	0.2735897944135548		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	0.0012807290601268755		0.0012807290601268755	0.006919225816107539	0.06785079079003518	0.06093156497392765		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	8.539324171002292e-9		8.539324171002292e-9	0.0016820869078149302	0.14877298794232835	0.14709090103451342		NA	NA	NA	NA	NA	NA	NA	0.06745843275165661	2
MCM5_chr22_35424407	65		glm_model_factor	1.7271848698089475e-23		1.7271848698089475e-23	0.03416723034417145	0.09363136483222242	0.059464134488050976		glm_model_factor	2.36288340536693e-13		2.36288340536693e-13	-8.189427659029526e-4	0.07733303391701077	0.07815197668291372		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	2.6901814164471476e-22		2.6901814164471476e-22	0.03534568444348318	0.08807084008636377	0.05272515564288059		glm_model_factor	5.098085687828717e-5		5.098085687828717e-5	0.053867114165849425	0.1369468811376241	0.08307976697177467	0.06654447963582057	2
MRE11_chr11_94417979	66		glm_model_factor	0.004526771114497518		0.004526771114497518	0.4692001917179219	0.916077201603517	0.44687700988559514		glm_model_factor	2.975486156188342e-6		2.975486156188342e-6	0.30824374036952384	0.723353413852659	0.4151096734831352		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	0.44002048542794414	4
MRPS21_chr1_150294195	65		glm_model_factor	0.002439681035355099		0.002439681035355099	0.08438200346110686	0.2589178045042163	0.17453580104310945		glm_model_factor	8.663897602359942e-12		8.663897602359942e-12	0.004612534214911656	0.7414335611409328	0.7368210269260211		glm_model_factor	5.062375593809085e-4		5.062375593809085e-4	0.13484966084325856	0.3688726181362854	0.23402295729302686		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	8.782849991054193e-4		8.782849991054193e-4	0.1096920043236868	0.34131910109044467	0.23162709676675786		glm_model_factor	2.6896296871936384e-8		2.6896296871936384e-8	0.20713845915634482	0.6841393512119921	0.4770008920556473	0.35214063230779613	4
NA_chr17_57993710	66		glm_model_factor	0.005465715542403625		0.005465715542403625	-0.008636788048552748	0.11957005307229103	0.12820684112084377		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	0.06579057187702463	2
NEK6_chr9_124312596	65		glm_model_factor	0.008322445507315004		0.008322445507315004	0.070821829074468	0.25242744629528385	0.18160561722081586		glm_model_factor	1.3431223888933094e-20		1.3431223888933094e-20	-0.0011277359906798731	0.28367789833832513	0.284805634329005		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	0.006811674325503669		0.006811674325503669	0.2432018278312258	0.2939697078749152	0.05076788004368943		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	0.152276502078491	3
NPEPPS_chr17_47605358	65		glm_model_factor	4.258704174878796e-4		4.258704174878796e-4	0.004324869245817864	0.4945899927400906	0.4902651234942727		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	2.2023117992537018e-5		2.2023117992537018e-5	0.042740190098499185	0.32425140988056084	0.2815112197820617		NA	NA	NA	NA	NA	NA	NA	0.2909061099962495	4
PAFAH1B2_chr11_117167797	65		glm_model_factor	3.1562951988091815e-14		3.1562951988091815e-14	-0.0029900530799768068	0.9305225973465641	0.9335126504265409		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	4.338106597192262e-6		4.338106597192262e-6	0.0401109204313468	0.45260618054654256	0.41249526011519577		NA	NA	NA	NA	NA	NA	NA	0.2602598376500885	4
PAH_chr12_102852230	66		glm_model_factor	1.0870724963002067e-15		1.0870724963002067e-15	-9.425346080103713e-4	0.16135440374090476	0.16229693834891512		glm_model_factor	1.5584598726573934e-7		1.5584598726573934e-7	0.008193491748099012	0.5770553707068636	0.5688618789587646		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	4.475228823179525e-9		4.475228823179525e-9	0.04542167592644443	0.1798063687263671	0.13438469279992266		glm_model_factor	4.6890209570626755e-5		4.6890209570626755e-5	0.1179723756615576	0.49123319068764243	0.3732608150260848	0.16167303810539183	3
PDCD11_chr10_103425426	65		glm_model_factor	3.362359991284101e-20		3.362359991284101e-20	-0.0037117187470840102	0.17347724010922816	0.17718895885631217		glm_model_factor	7.337908692885261e-11		7.337908692885261e-11	0.20959850911763	0.50870311047534	0.29910460135771		glm_model_factor	1.406990347443338e-4		1.406990347443338e-4	0.03858463495187767	0.1051956113687111	0.06661097641683343		glm_model_factor	2.062027209385733e-4		2.062027209385733e-4	0.14378978564109549	0.3871340994151971	0.24334431377410162		glm_model_factor	4.6691612121782044e-17		4.6691612121782044e-17	0.01738303443625401	0.13945190218352543	0.12206886774727142		glm_model_factor	1.1761281556254395e-11		1.1761281556254395e-11	0.16949758926039682	0.44791860494526853	0.2784210156848717	0.17217268699251922	3
PFKP_chr10_3112271	65		glm_model_factor	4.1732520754685866e-13		4.1732520754685866e-13	0.030877644313810373	0.2752060351384201	0.24432839082460975		glm_model_factor	7.69282364897553e-95		7.69282364897553e-95	-0.04781843210927904	0.4820014168074593	0.5298198489167383		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	7.959974439278211e-5		7.959974439278211e-5	0.1840863599116149	0.317309656263664	0.13322329635204908		glm_model_factor	7.921494991653872e-17		7.921494991653872e-17	0.212739387478949	0.4561343819679622	0.2433949944890132	0.3361882996415574	4
PGRMC2_chr4_128270304	66		glm_model_factor	2.495538006391128e-4		2.495538006391128e-4	0.004184555952469703	0.355390097116449	0.3512055411639793		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	3.497404153107074e-4		3.497404153107074e-4	0.05545723551479581	0.33439781420506043	0.2789405786902646		glm_model_factor	0.002207598936647031		0.002207598936647031	0.13420819451986918	0.37575755129632354	0.24154935677645437	0.23220074879779976	4
PMS2_chr7_5971345	66		glm_model_factor	7.674116756124568e-8		7.674116756124568e-8	0.0954758132016976	0.3872541749183861	0.2917783617166885		glm_model_factor	0.001540487947219479		0.001540487947219479	0.10191729553904345	0.40674347619752954	0.3048261806584861		glm_model_factor	0.0029642942750909185		0.0029642942750909185	0.14292808491253162	0.27406462161173406	0.13113653669920244		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	7.669172161388644e-10		7.669172161388644e-10	0.11916632641607851	0.33038212095725883	0.21121579454118034		NA	NA	NA	NA	NA	NA	NA	0.22594628453304663	4
PSPH_chr7_56051175	66		glm_model_factor	5.877002246373223e-6		5.877002246373223e-6	0.008958869402902917	0.20101460920985115	0.19205573980694823		glm_model_factor	3.2435422760136665e-9		3.2435422760136665e-9	-0.005552136523946442	0.2706601370281963	0.27621227355214273		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	2.2928982979676038e-5		2.2928982979676038e-5	0.0570172568088778	0.2037452161911458	0.14672795938226801		glm_model_factor	0.0024255319113561553		0.0024255319113561553	0.13875738543335606	0.3589909548393777	0.22023356940602165	0.145506240368774	3
RHBDD2_chr7_75888787	65		glm_model_factor	0.0039307796316686945		0.0039307796316686945	0.14047645869228637	0.2925100914392345	0.15203363274694814		glm_model_factor	5.553333742605293e-17		5.553333742605293e-17	0.21024531409824643	0.5373822816691891	0.3271369675709427		glm_model_factor	2.3102899730861976e-11		2.3102899730861976e-11	0.15183442248803664	0.30772115615687134	0.1558867336688347		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	2.913546279302229e-26		2.913546279302229e-26	0.14495918111662798	0.29960373450845046	0.15464455339182248		NA	NA	NA	NA	NA	NA	NA	0.28703764183177694	4
RHOF_chr12_121779004	66		glm_model_factor	5.706196427307496e-16		5.706196427307496e-16	-0.0049302877123160345	0.05696406826785315	0.06189435598016918		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	0.014568477285301064	1
RIMS3_chr1_40622675	66		glm_model_factor	1.1267762928904534e-17		1.1267762928904534e-17	-0.0021426449381927812	0.21784635512860914	0.21998900006680192		glm_model_factor	1.1163511375373142e-14		1.1163511375373142e-14	-3.9213764640303427e-4	0.12858435668545468	0.1289764943318577		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	2.208404392370306e-27		2.208404392370306e-27	0.008327643684872647	0.11885669979086216	0.11052905610598951		glm_model_factor	2.7315269622647195e-5		2.7315269622647195e-5	0.037050588827161265	0.13909524208138085	0.10204465325421959	0.06728923310086413	2
RPL14_chr3_40457969	65		glm_model_factor	1.7828897737916678e-37		1.7828897737916678e-37	-0.004483560962490586	0.31774489969043906	0.32222846065292965		glm_model_factor	0.046852145135991244		0.046852145135991244	0.04711409915362015	0.24424646346092796	0.1971323643073078		glm_model_factor	0.01373715351757581		0.01373715351757581	0.042218240588349	0.0993231354650986	0.05710489487674961		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	5.598392230938895e-14		5.598392230938895e-14	0.018519141826873184	0.2082569346160521	0.1897377927891789		NA	NA	NA	NA	NA	NA	NA	0.14407653872036508	3
