chr	pos	avg_delrate_BS	avg_delrate_input	all_below_thresh	delta_delrate	p.value	is_equivalent	equivalence_status	site_specific_eqbound	p.adjust_diff	category
ARL5A_chr2_151801825	66	0.05413172245354029	0.0027789646285925206	FALSE	0.05135275782494777	5.806340930020101e-13	TRUE	Equivalent	2.9954742656005524	5.806340930020101e-13	Modified
ASB3_chr2_53670029	64	0.006737680009686768	0.03365709823473611	FALSE	-0.02691941822504934	0	FALSE	Not equivalent	0.9636304037348955	0	Inconclusive
ASMER1.NRIP1_chr21_15037129	66	0.01055738103930876	0.00925925925925925	TRUE	0.0012981217800495104	NA	NA	NA	NA	NA	Unmodified
ATG16L1.SCARNA5_chr2_233275884	66	0.0313761478536045	0.031655575242100324	FALSE	-2.7942738849582455e-4	0.4555335880347503	TRUE	Equivalent	1.000611137294094	0.4555335880347503	Unmodified
ATP13A1_chr19_19654662	66	0.23265525632260378	0.011322115696961305	FALSE	0.22133314062564247	0	FALSE	Not equivalent	1.7412788026786794	0	Modified
ATP5MJ_chr14_103912536	66	0.09506254019733419	0.006282355414249604	FALSE	0.08878018478308458	1.617705952484717e-78	FALSE	Not equivalent	2.2442621973950456	1.617705952484717e-78	Modified
ATP5MJ_chr14_103912631	66	0.10170127898178816	0.0015305005991688094	FALSE	0.10017077838261934	3.202992088036973e-112	FALSE	Not equivalent	3.5679529798972185	3.202992088036973e-112	Modified
ATP6V0A1_chr17_42500800	61	0.02269166606649984	0.018535632236759587	TRUE	0.004156033829740252	NA	NA	NA	NA	NA	Unmodified
ATP6V1A_chr3_113810808	65	0.015290355822395867	0.0036479977875545026	FALSE	0.011642358034841364	0.006405319441319035	TRUE	Equivalent	2.739751698574011	0.006405319441319035	Unmodified
ATP7B_chr13_51958890	66	0.006413104777639804	0.004282313607791843	TRUE	0.002130791169847961	NA	NA	NA	NA	NA	Unmodified
B3GALT6_chr1_1234725	63	0.029917329878528028	0.027109300219429047	TRUE	0.0028080296590989803	NA	NA	NA	NA	NA	Unmodified
B4GALT3_chr1_161171614	66	0.047480820773074014	0.006662554906980783	FALSE	0.04081826586609323	9.878133468651084e-35	FALSE	Not equivalent	2.1922569240912355	9.878133468651084e-35	Inconclusive
BACH1_chr21_29345948	64	0.003972429028142501	0.006916045475367515	TRUE	-0.0029436164472250144	NA	NA	NA	NA	NA	Unmodified
BCAP31_chrX_153703029	66	0.043028606631963937	0.0019250917279120415	FALSE	0.0411035149040519	1.7532879594479147e-55	FALSE	Not equivalent	3.3462233344245575	1.7532879594479147e-55	Inconclusive
BCL2L1_chr20_31721485	66	0.009608645813001922	0.0067169227050691525	TRUE	0.002891723107932769	NA	NA	NA	NA	NA	Unmodified
BCL2L2.BCL2L2-PABPN1_chr14_23307820	65	0.3223787066470042	0.006116629818695739	FALSE	0.3162620768283084	5.193893337210851e-271	FALSE	Not equivalent	2.2680381946591677	5.193893337210851e-271	Modified
BCLAF1_chr6_136260235	66	0.015019828916269427	0.01568791169868438	TRUE	-6.680827824149527e-4	NA	NA	NA	NA	NA	Unmodified
BCOR_chrX_40051388	66	0	0	TRUE	0	NA	NA	NA	NA	NA	Unmodified
BIRC5_chr17_78223806	65	0.022681060555246987	0.018913808809796945	FALSE	0.003767251745450041	0.024780266419008417	TRUE	Equivalent	1.345272760034471	0.024780266419008417	Unmodified
BOLA2B_chr16_30192990	66	0.012697852309548223	0.0025201979204091214	TRUE	0.0101776543891391	NA	NA	NA	NA	NA	Unmodified
BRI3BP_chr12_125025556	65	0.0825823138365812	0.015311254378896548	FALSE	0.06727105945768465	1.6108919558281282e-57	FALSE	Not equivalent	1.5026882474129755	1.6108919558281282e-57	Modified
BTF3_chr5_73505259	65	0.007390770199401126	0.007597508535148994	TRUE	-2.067383357478676e-4	NA	NA	NA	NA	NA	Unmodified
C11orf58_chr11_16756617	65	0.018911806822734367	0.002985990790907397	FALSE	0.01592581603182697	0.0013461402140009676	TRUE	Equivalent	2.9275468737882666	0.0013461402140009676	Unmodified
C2orf42.TIA1_chr2_70215452	65	0.007537323299204849	0.003576993378062352	TRUE	0.003960329921142497	NA	NA	NA	NA	NA	Unmodified
C2orf42.TIA1_chr2_70225191	66	0.007773601841423956	0.012916436047209361	TRUE	-0.005142834205785405	NA	NA	NA	NA	NA	Unmodified
C2orf42.TIA1_chr2_70226812	66	0.010032778109000834	0.00885394776126144	TRUE	0.0011788303477393933	NA	NA	NA	NA	NA	Unmodified
C3_chr19_6707529	66	0.003541248259746342	0.0031156112585959852	TRUE	4.256370011503567e-4	NA	NA	NA	NA	NA	Unmodified
CAPN1_chr11_65186045	65	3.9024731509479534e-4	3.9563534370177307e-4	TRUE	-5.3880286069777315e-6	NA	NA	NA	NA	NA	Unmodified
CAPRIN1_chr11_34100130	65	0.13493836445622506	0.13396269111768921	FALSE	9.756733385358485e-4	0.028083267284996678	TRUE	Equivalent	0.37663954859203774	0.028083267284996678	Unmodified
CBR1_chr21_36072656	65	0.009473546526603127	0.005477103869172628	TRUE	0.003996442657430499	NA	NA	NA	NA	NA	Unmodified
CCNL1_chr3_157150836	62	0.06483691293510456	0.043043971616219055	FALSE	0.021792941318885505	0.0034832542033179123	TRUE	Equivalent	0.8245134799527816	0.0034832542033179123	Unmodified
CCNL2_chr1_1386833	62	0.02939731246881808	0.029794253526529292	FALSE	-3.9694105771121216e-4	0.9984735344291786	TRUE	Equivalent	1.038046826941645	0.9984735344291786	Unmodified
CCNT1_chr12_48689450	64	0.016958360370773157	0.019987070262034282	FALSE	-0.003028709891261125	0.5661850041943153	TRUE	Equivalent	1.3055922130460034	0.5661850041943153	Unmodified
CCNT2_chr2_134955283	66	0.012954687943133408	0.0047845374427596624	TRUE	0.008170150500373745	NA	NA	NA	NA	NA	Unmodified
CCT2_chr12_69598339	65	0.0457802189825959	0.002523917553472394	FALSE	0.043256301429123505	5.911906914094099e-66	TRUE	Equivalent	3.086882836326243	5.911906914094099e-66	Unmodified
CCT7_chr2_73252776	65	0.03871272938727218	0.01543375873035331	FALSE	0.02327897065691887	7.226401638681992e-63	TRUE	Equivalent	1.4965997496780874	7.226401638681992e-63	Unmodified
CD302_chr2_159771030	66	0.003145220613435721	6.738987508218285e-4	TRUE	0.0024713218626138925	NA	NA	NA	NA	NA	Unmodified
CD46_chr1_207767161	66	0.005269866860485832	0.003094183479833726	TRUE	0.0021756833806521056	NA	NA	NA	NA	NA	Unmodified
CDC25B_chr20_3803163	65	0.03055234979949006	0.004962390550349073	FALSE	0.025589959249140988	9.322216062210273e-17	TRUE	Equivalent	2.456317362553624	9.322216062210273e-17	Unmodified
CDC42BPB_chr14_102943892	66	0.013091801765661869	0.004495507460501619	TRUE	0.00859629430516025	NA	NA	NA	NA	NA	Unmodified
CDC42_chr1_22092496	65	0.22884608540183474	0.008671685422798926	FALSE	0.22017439997903582	1.2465107588988423e-70	FALSE	Not equivalent	1.963647878013436	1.2465107588988423e-70	Modified
CDC6_chr17_40295390	65	0.5897564355535126	0.005690118105157983	FALSE	0.5840663174483547	4.124438709158398e-146	FALSE	Not equivalent	2.3326662473024817	4.124438709158398e-146	Modified
CDK13_chr7_39987695	66	0.026071778372798674	0.009631579705017157	FALSE	0.016440198667781517	0.003962470667023711	TRUE	Equivalent	1.8749433228812533	0.003962470667023711	Unmodified
CEP170B_chr14_104895759	65	0.015431759030461765	0.006838000427722441	FALSE	0.008593758602739324	0.18139845925429526	TRUE	Equivalent	2.1693655026029988	0.18139845925429526	Unmodified
CERS5_chr12_50144032	66	0.007003367490785872	0.012355142733715546	TRUE	-0.005351775242929674	NA	NA	NA	NA	NA	Unmodified
CGGBP1_chr3_88058868	64	0.19537676850534247	0.19923797874533192	FALSE	-0.003861210239989449	0.038545298715749424	TRUE	Equivalent	0.28838327644933837	0.038545298715749424	Unmodified
CHCHD2_chr7_56101791	66	0.003018264925560974	2.436647173489275e-4	TRUE	0.0027746002082120465	NA	NA	NA	NA	NA	Unmodified
CHD8_chr14_21428217	66	0.07134615512727369	0.007545149335845612	FALSE	0.06380100579142807	7.918236292747847e-34	FALSE	Not equivalent	2.083358467459171	7.918236292747847e-34	Modified
CHDH_chr3_53817683	66	0.007372294770965411	0.005756302970259558	TRUE	0.001615991800705853	NA	NA	NA	NA	NA	Unmodified
CHKA_chr11_68091500	63	0.03240886629435924	0.024671653831739332	FALSE	0.007737212462619908	0.024171337164472884	TRUE	Equivalent	1.160071123127488	0.024171337164472884	Unmodified
CHMP3_chr2_86504704	66	0.055521519675922934	0.0053958295521441425	FALSE	0.05012569012377879	5.234395878878719e-40	FALSE	Not equivalent	2.380456828915997	5.234395878878719e-40	Modified
CHP1_chr15_41280156	65	0.04314245368528438	0.015897920614090517	FALSE	0.027244533071193865	1.0414913041361277e-31	TRUE	Equivalent	1.4740624715929074	1.0414913041361277e-31	Unmodified
CHSY1_chr15_101176697	65	0.021303943507387707	0.021347334230245662	TRUE	-4.339072285795484e-5	NA	NA	NA	NA	NA	Unmodified
CIT_chr12_119857629	66	0.08700584618578008	0.0014788429956417585	FALSE	0.08552700319013833	0	FALSE	Not equivalent	3.6012821318443073	0	Modified
CKAP5_chr11_46743829	66	0.09933241379400305	0.01411311875248925	FALSE	0.0852192950415138	1.4173363993210405e-204	FALSE	Not equivalent	1.5655912382248056	1.4173363993210405e-204	Modified
CLN6_chr15_68207884	64	0.06803353170971602	0.06079884751445031	FALSE	0.0072346841952657046	0.2709735452276904	TRUE	Equivalent	0.6548517373109846	0.2709735452276904	Unmodified
CLPP_chr19_6368667	65	0.18086157754827106	0.008861494539740685	FALSE	0.17200008300853037	0	FALSE	Not equivalent	1.9452356690713808	0	Modified
CLTC_chr17_59666801	65	0.0023486126280783132	0.0026909717138471293	TRUE	-3.423590857688161e-4	NA	NA	NA	NA	NA	Unmodified
CLUHP3_chr16_31707321	66	0.0052695967727940446	0.0035511177550592906	TRUE	0.001718479017734754	NA	NA	NA	NA	NA	Unmodified
CLUH_chr17_2692790	66	0	NA	TRUE	NA	NA	NA	NA	NA	NA	Unmodified
CNOT1_chr16_58549796	66	0.00188897962367794	0.001639893609744965	TRUE	2.4908601393297514e-4	NA	NA	NA	NA	NA	Unmodified
COBLL1_chr2_164691941	65	9.090909090909091e-4	0.00450861195542047	TRUE	-0.0035995210463295613	NA	NA	NA	NA	NA	Unmodified
COBLL1_chr2_164698679	66	0.005112957235091968	0.00453629695435146	TRUE	5.766602807405078e-4	NA	NA	NA	NA	NA	Unmodified
COBLL1_chr2_164715853	65	0.0019072048962118842	0.00167451294494156	TRUE	2.3269195127032416e-4	NA	NA	NA	NA	NA	Unmodified
COBLL1_chr2_164726015	66	0.015121020023735257	0.013861809535272987	TRUE	0.0012592104884622708	NA	NA	NA	NA	NA	Unmodified
COBLL1_chr2_164827881	66	0.0051660722118374025	0.002073365231259968	TRUE	0.0030927069805774345	NA	NA	NA	NA	NA	Unmodified
COX20_chr1_244843050	65	0.1399218065884732	0.00609756097560975	FALSE	0.13382424561286344	6.881032472649045e-4	FALSE	Not equivalent	2.270819723706131	6.881032472649045e-4	Modified
CPSF6_chr12_69257065	66	0.001702512441608542	0.00170985011299273	TRUE	-7.337671384187883e-6	NA	NA	NA	NA	NA	Unmodified
CRELD1_chr3_9944596	65	0.10865888362294468	0.01489087029745887	FALSE	0.09376801332548582	0	FALSE	Not equivalent	1.5240478348654687	0	Modified
CSE1L_chr20_49072349	66	0.014178687333528943	0.010620070960400888	TRUE	0.003558616373128055	NA	NA	NA	NA	NA	Unmodified
CSK_chr15_74798262	64	0.017530916919911564	0.010220258747786183	TRUE	0.007310658172125381	NA	NA	NA	NA	NA	Unmodified
CTDSP2_chr12_57820227	66	0.175647284137128	0.004865310502833144	FALSE	0.17078197363429484	7.095512920662309e-298	FALSE	Not equivalent	2.474301392833519	7.095512920662309e-298	Modified
CTSA_chr20_45898641	64	0.0197483059338323	0.01638490942785717	FALSE	0.003363396505975131	0.012119363183089843	TRUE	Equivalent	1.4512794163271154	0.012119363183089843	Unmodified
CTU2_chr16_88710004	63	0.04643875319572967	0.048587680576432896	FALSE	-0.0021489273807032278	0.08650951264762556	TRUE	Equivalent	0.7615610531613117	0.08650951264762556	Unmodified
CYB5B_chr16_69463546	65	0.1646885800514951	0.011378708447861666	FALSE	0.1533098716036334	1.0803599371865834e-13	FALSE	Not equivalent	1.7372183282058118	1.0803599371865834e-13	Modified
CYC1_chr8_144097068	65	0.10318625629890614	0.010255126863815205	FALSE	0.09293112943509094	0	FALSE	Not equivalent	1.8226486787015106	0	Modified
DBN1_chr5_177468190	65	0.02119326727387864	0.017380728076213544	FALSE	0.0038125391976650963	0.03430236146659241	TRUE	Equivalent	1.4072217167209922	0.03430236146659241	Unmodified
DBR1_chr3_138161491	62	0.0059638932496075305	0.009015594541910333	TRUE	-0.003051701292302802	NA	NA	NA	NA	NA	Unmodified
DCAF7_chr17_63589825	65	0.062218964184149884	0.02546675189149511	FALSE	0.036752212292654775	4.511637840837348e-121	FALSE	Not equivalent	1.1389880559060432	4.511637840837348e-121	Inconclusive
DCTN1_chr2_74369480	66	0.024071772720172246	0.0011018108113822393	FALSE	0.022969961908790006	4.704607263892961e-25	TRUE	Equivalent	3.8882162648028724	4.704607263892961e-25	Unmodified
DCTN1_chr2_74378181	66	0.24073891673588116	0.010082253637548421	FALSE	0.23065666309833274	0	FALSE	Not equivalent	1.8367671921853228	0	Modified
DCTN2_chr12_57532803	66	0.10242157198527842	0.00812727202740819	FALSE	0.09429429995787023	1.8030101026649333e-170	FALSE	Not equivalent	2.019134272019292	1.8030101026649333e-170	Modified
DDX49_chr19_18928489	65	0.0031577340202797338	0.0035404749344627607	TRUE	-3.827409141830269e-4	NA	NA	NA	NA	NA	Unmodified
DECR1_chr8_90044931	65	0.12621382919774296	0.005052589405235978	FALSE	0.12116123979250698	5.376573798054181e-102	FALSE	Not equivalent	2.439948640317515	5.376573798054181e-102	Modified
DESI2_chr1_244708364	65	0.06680380711114378	0.003244269395316225	FALSE	0.06355953771582756	4.323327451782517e-25	FALSE	Not equivalent	2.849464620673397	4.323327451782517e-25	Modified
DGKQ.SLC26A1_chr4_986740	65	0.010271623820636969	0.004013876089955986	TRUE	0.006257747730680983	NA	NA	NA	NA	NA	Unmodified
DGLUCY.SNORA11B_chr14_91126499	66	0.030699987725212836	0.005081481326783083	FALSE	0.025618506398429754	1.1280420983329698e-20	TRUE	Equivalent	2.4347728916251015	1.1280420983329698e-20	Unmodified
DHCR24_chr1_54851248	66	0.09685868372189656	0.010308820350984075	FALSE	0.08654986337091249	3.527295311543139e-109	FALSE	Not equivalent	1.8183201596957015	3.527295311543139e-109	Modified
DHCR24_chr1_54871585	66	0.006117710854131775	0.004591900209378296	TRUE	0.0015258106447534787	NA	NA	NA	NA	NA	Unmodified
DHFR_chr5_80651833	66	0.021769210217272218	0.02112032187020096	FALSE	6.488883470712574e-4	0.16833753257823836	TRUE	Equivalent	1.2665669374844502	0.16833753257823836	Unmodified
DHX30_chr3_47846614	65	0.14738365500107245	0.007717873738714839	FALSE	0.13966578126235762	0	FALSE	Not equivalent	2.0637307335536454	0	Modified
DHX57_chr2_38822994	65	0.013066091556111086	0.009653287816482673	TRUE	0.003412803739628413	NA	NA	NA	NA	NA	Unmodified
DICER1_chr14_95124508	66	0.003728814949056087	0.003258471248176139	TRUE	4.7034370087994807e-4	NA	NA	NA	NA	NA	Unmodified
DKC1_chrX_154765960	65	0.6076671798413806	0.0021634407703972217	FALSE	0.6055037390709834	7.897407941403322e-37	FALSE	Not equivalent	3.2340893906542405	7.897407941403322e-37	Modified
DLG1_chr3_197296445	66	0.0060354952364851736	0.010009902980195516	TRUE	-0.0039744077437103426	NA	NA	NA	NA	NA	Unmodified
DNAJB12_chr10_72334148	66	0	0	TRUE	0	NA	NA	NA	NA	NA	Unmodified
DRG2_chr17_18107480	65	0.029827751519714066	0.005127688985981949	FALSE	0.024700062533732116	1.8868919196066468e-34	TRUE	Equivalent	2.4265616452891146	1.8868919196066468e-34	Unmodified
DSTN_chr20_17601035	65	0.10274574222140764	0.08068835160461207	FALSE	0.02205739061679557	0.009707120873305369	TRUE	Equivalent	0.538144762596422	0.009707120873305369	Unmodified
DUXAP9_chr14_19106902	65	0.25610532182674633	0.005747131210528409	FALSE	0.25035819061621795	1.295674822805417e-183	FALSE	Not equivalent	2.3237227102186915	1.295674822805417e-183	Modified
DYNLT3_chrX_37840596	62	0.005708563172503247	0.0085351965478994	TRUE	-0.002826633375396153	NA	NA	NA	NA	NA	Unmodified
EDC4_chr16_67881312	64	0.012620444115532996	0.0080114309603437385	TRUE	0.004609013155189258	NA	NA	NA	NA	NA	Unmodified
EEF2_chr19_3984337	66	0.005691559201802309	0.005677214330680453	TRUE	1.4344871121855542e-5	NA	NA	NA	NA	NA	Unmodified
EGLN3.SPTSSA_chr14_34435087	66	9.79936774908524e-4	0	TRUE	9.79936774908524e-4	NA	NA	NA	NA	NA	Unmodified
EHBP1_chr2_62779714	66	0.00573428282649358	0.007879137940366597	TRUE	-0.002144855113873017	NA	NA	NA	NA	NA	Unmodified
EHBP1_chr2_62792751	66	0.0057272518382353	0.002457467610841755	TRUE	0.003269784227393545	NA	NA	NA	NA	NA	Unmodified
EHBP1_chr2_62948763	66	7.82952069716775e-4	0.0023967049872927015	TRUE	-0.0016137529175759267	NA	NA	NA	NA	NA	Unmodified
EHD1_chr11_64854083	65	0.02996544988797414	0.02964965494316999	TRUE	3.157949448041493e-4	NA	NA	NA	NA	NA	Unmodified
EIF3A_chr10_119065478	66	0.0018829056799472854	0.0015286146908155707	TRUE	3.5429098913171463e-4	NA	NA	NA	NA	NA	Unmodified
EIF3F_chr11_7996052	65	0.03845098838627386	0.01132807697013888	FALSE	0.02712291141613498	1.7012919111892182e-16	TRUE	Equivalent	1.7408499543067912	1.7012919111892182e-16	Unmodified
EIF3H_chr8_116726168	66	0.002534050881922839	0.0022751624619066816	TRUE	2.5888842001615736e-4	NA	NA	NA	NA	NA	Unmodified
EIF4A1P10_chrX_92113939	66	0.004029582418829658	0.004448361017285465	TRUE	-4.1877859845580734e-4	NA	NA	NA	NA	NA	Unmodified
EIF4A2_chr3_186785283	66	0.1293374055995395	0.0026080182311185368	FALSE	0.12672938736842096	4.891554146756803e-32	FALSE	Not equivalent	3.0557088383799216	4.891554146756803e-32	Modified
EIF4A2_chr3_186788974	66	0.034694471058448154	0.015818902162532653	FALSE	0.0188755688959155	0.06917457172142188	TRUE	Equivalent	1.4778411078975244	0.06917457172142188	Unmodified
